name,lightcast_id,category,slug
Multi-Tenant Architecture,,SaaS,multi-tenant-architecture
SaaS Onboarding,,SaaS,saas-onboarding
SaaS Customer Success,,SaaS,saas-customer-success
SaaS Pricing Strategy,,SaaS,saas-pricing-strategy
SaaS Metrics,,SaaS,saas-metrics
ARR,,SaaS,arr
Annual Recurring Revenue,,SaaS,annual-recurring-revenue
MRR,,SaaS,mrr
Monthly Recurring Revenue,,SaaS,monthly-recurring-revenue
Churn Reduction,,SaaS,churn-reduction
Retention Strategy,,SaaS,retention-strategy
Net Revenue Retention,,SaaS,net-revenue-retention
Gross Margin,,SaaS,gross-margin
Customer Acquisition Cost,,SaaS,customer-acquisition-cost
Lifetime Value,,SaaS,lifetime-value
Cloud Architecture,,Cloud,cloud-architecture
AWS,,Cloud,aws
Azure,,Cloud,azure
Google Cloud Platform,,Cloud,gcp
GCP,,Cloud,gcp-2
Cloud Migration,,Cloud,cloud-migration
Hybrid Cloud,,Cloud,hybrid-cloud
Multi-Cloud,,Cloud,multi-cloud
Serverless,,Cloud,serverless
Containers,,Cloud,containers
Docker,,Cloud,docker
Kubernetes,,Cloud,kubernetes
Microservices,,Cloud,microservices
API Design,,Cloud,api-design
RESTful API,,Cloud,restful-api
GraphQL,,Cloud,graphql
gRPC,,Cloud,grpc
Service Mesh,,Cloud,service-mesh
Infrastructure as Code,,Cloud,infrastructure-as-code
Terraform,,Cloud,terraform
CI/CD,,Cloud,ci-cd
GitHub Actions,,Cloud,github-actions
Observability,,Cloud,observability
Site Reliability Engineering,,Cloud,site-reliability-engineering
Incident Response,,Cloud,incident-response
Sales Engineering,,Sales Engineering,sales-engineering
Solutions Engineering,,Sales Engineering,solutions-engineering
Solutions Architecture,,Sales Engineering,solutions-architecture
Pre-Sales Engineering,,Sales Engineering,pre-sales-engineering
Technical Pre-Sales,,Sales Engineering,technical-pre-sales
Post-Sales Engineering,,Sales Engineering,post-sales-engineering
Customer-Facing Engineering,,Sales Engineering,customer-facing-engineering
Solutions Consulting,,Sales Engineering,solutions-consulting
Technical Consulting,,Sales Engineering,technical-consulting
Discovery Calls,,Sales Engineering,discovery-calls
Customer Discovery,,Sales Engineering,customer-discovery
Demos,,Sales Engineering,demos
Technical Demonstrations,,Sales Engineering,technical-demonstrations
Proof of Concept,,Sales Engineering,proof-of-concept
POC Delivery,,Sales Engineering,poc-delivery
Pilot Program Management,,Sales Engineering,pilot-program-management
RFP Response,,Sales Engineering,rfp-response
RFI Response,,Sales Engineering,rfi-response
Solutioning,,Sales Engineering,solutioning
Bid Management,,Sales Engineering,bid-management
Win Theme Development,,Sales Engineering,win-theme-development
Technical Discovery,,Sales Engineering,technical-discovery
Technical Win,,Sales Engineering,technical-win
Solution Selling,,Sales,solution-selling
Consultative Selling,,Sales,consultative-selling
Challenger Sale,,Sales,challenger-sale
MEDDIC,,Sales,meddic
MEDDPICC,,Sales,meddpicc
SPIN Selling,,Sales,spin-selling
Sandler Sales,,Sales,sandler-sales
Account Management,,Sales,account-management
Strategic Account Management,,Sales,strategic-account-management
Enterprise Account Management,,Sales,enterprise-account-management
Key Account Management,,Sales,key-account-management
Named Account Strategy,,Sales,named-account-strategy
Land and Expand,,Sales,land-and-expand
Cross-Sell,,Sales,cross-sell
Upsell,,Sales,upsell
Pipeline Management,,Sales,pipeline-management
Forecasting,,Sales,forecasting
Quota Attainment,,Sales,quota-attainment
Sales Cycle Management,,Sales,sales-cycle-management
Closing Strategy,,Sales,closing-strategy
Negotiation,,Sales,negotiation
Pricing Strategy,,Sales,pricing-strategy
Deal Strategy,,Sales,deal-strategy
Deal Desk,,Sales,deal-desk
Revenue Operations,,RevOps,revenue-operations
RevOps,,RevOps,revops
Sales Operations,,RevOps,sales-operations
Marketing Operations,,RevOps,marketing-operations
Customer Success Operations,,RevOps,customer-success-operations
Sales Enablement,,RevOps,sales-enablement
Sales Process Optimization,,RevOps,sales-process-optimization
Sales Process Design,,RevOps,sales-process-design
Sales Cycle Analytics,,RevOps,sales-cycle-analytics
Funnel Analysis,,RevOps,funnel-analysis
Conversion Optimization,,RevOps,conversion-optimization
Lead Scoring,,RevOps,lead-scoring
Sales Forecasting,,RevOps,sales-forecasting
Territory Planning,,RevOps,territory-planning
Quota Planning,,RevOps,quota-planning
Compensation Plan Design,,RevOps,compensation-plan-design
Commission Modeling,,RevOps,commission-modeling
Pricing and Packaging,,RevOps,pricing-and-packaging
Deal Approval Workflow,,RevOps,deal-approval-workflow
GTM Strategy,,GTM,gtm-strategy
Go-to-Market Strategy,,GTM,go-to-market-strategy
GTM Execution,,GTM,gtm-execution
Product Launch,,GTM,product-launch
Product Marketing,,GTM,product-marketing
Demand Generation,,GTM,demand-generation
ABM,,GTM,abm
Account-Based Marketing,,GTM,account-based-marketing
Field Marketing,,GTM,field-marketing
Channel Strategy,,GTM,channel-strategy
Partnerships,,GTM,partnerships
Channel Partnerships,,GTM,channel-partnerships
Strategic Alliances,,GTM,strategic-alliances
Reseller Management,,GTM,reseller-management
OEM Partnerships,,GTM,oem-partnerships
Co-Selling,,GTM,co-selling
Salesforce,,Sales Tools,salesforce
Salesforce Administration,,Sales Tools,salesforce-administration
Salesforce CPQ,,Sales Tools,salesforce-cpq
HubSpot,,Sales Tools,hubspot
HubSpot CRM,,Sales Tools,hubspot-crm
HubSpot Marketing Hub,,Sales Tools,hubspot-marketing-hub
Pipedrive,,Sales Tools,pipedrive
Outreach,,Sales Tools,outreach
Salesloft,,Sales Tools,salesloft
Gong,,Sales Tools,gong
Chorus,,Sales Tools,chorus
ZoomInfo,,Sales Tools,zoominfo
LinkedIn Sales Navigator,,Sales Tools,linkedin-sales-navigator
Apollo.io,,Sales Tools,apollo-io
Outreach.io,,Sales Tools,outreach-io
Mutiny,,Sales Tools,mutiny
6sense,,Sales Tools,6sense
Demandbase,,Sales Tools,demandbase
Clearbit,,Sales Tools,clearbit
Drift,,Sales Tools,drift
Intercom,,Sales Tools,intercom
Marketo,,Marketing Tools,marketo
Pardot,,Marketing Tools,pardot
Eloqua,,Marketing Tools,eloqua
Mailchimp,,Marketing Tools,mailchimp
Customer.io,,Marketing Tools,customer-io
Iterable,,Marketing Tools,iterable
Braze,,Marketing Tools,braze
Segment,,Marketing Tools,segment
Mixpanel,,Marketing Tools,mixpanel
Amplitude,,Marketing Tools,amplitude
Heap,,Marketing Tools,heap
Google Analytics,,Marketing Tools,google-analytics
Google Tag Manager,,Marketing Tools,google-tag-manager
Looker,,BI,looker
Tableau,,BI,tableau
Power BI,,BI,power-bi
Mode,,BI,mode
Sigma,,BI,sigma
Hex,,BI,hex
Snowflake,,BI,snowflake
BigQuery,,BI,bigquery
Redshift,,BI,redshift
dbt,,BI,dbt
Airflow,,BI,airflow
SQL,,BI,sql
Python for Data Analysis,,BI,python-for-data-analysis
Excel,,BI,excel
JIRA,,Project Tools,jira
Asana,,Project Tools,asana
ClickUp,,Project Tools,clickup
Linear,,Project Tools,linear
Trello,,Project Tools,trello
MS Project,,Project Tools,ms-project
Microsoft Project,,Project Tools,microsoft-project
Smartsheet,,Project Tools,smartsheet
Monday.com,,Project Tools,monday-com
Wrike,,Project Tools,wrike
Basecamp,,Project Tools,basecamp
Airtable,,Project Tools,airtable
Slack,,Communication,slack
Microsoft Teams,,Communication,microsoft-teams
Zoom,,Communication,zoom
Webex,,Communication,webex
Google Workspace,,Communication,google-workspace
Google Meet,,Communication,google-meet
Loom,,Communication,loom
Whatsapp,,Communication,whatsapp
Discord,,Communication,discord
GitHub,,DevTools,github
Bitbucket,,DevTools,bitbucket
GitLab,,DevTools,gitlab
Git,,DevTools,git
Postman,,DevTools,postman
Insomnia,,DevTools,insomnia
Figma,,DevTools,figma
FigJam,,DevTools,figjam
Miro,,DevTools,miro
Lucidchart,,DevTools,lucidchart
Draw.io,,DevTools,drawio
Visual Studio Code,,DevTools,visual-studio-code
Cursor,,DevTools,cursor
Aerospace Engineering,,Domain,aerospace-engineering
Aerospace OEM,,Domain,aerospace-oem
In-Flight Wireless Systems,,Domain,in-flight-wireless-systems
Avionics,,Domain,avionics
Defense Industry,,Domain,defense-industry
Critical Infrastructure,,Domain,critical-infrastructure
Industrial Automation,,Domain,industrial-automation
Manufacturing Operations,,Domain,manufacturing-operations
Smart Manufacturing,,Domain,smart-manufacturing
Industry 4.0,,Domain,industry-4-0
SCADA,,Domain,scada
PLC Programming,,Domain,plc-programming
Energy Sector,,Domain,energy-sector
Utilities,,Domain,utilities
Telecommunications,,Domain,telecommunications
Telecom Infrastructure,,Domain,telecom-infrastructure
Carrier Networks,,Domain,carrier-networks
Broadband ISP,,Domain,broadband-isp
Fixed Wireless Access,,Domain,fixed-wireless-access
Public Safety,,Domain,public-safety
Mission-Critical Communications,,Domain,mission-critical-communications
Healthcare IT,,Domain,healthcare-it
EHR Integration,,Domain,ehr-integration
HIPAA,,Domain,hipaa
HITRUST,,Domain,hitrust
SOC 2,,Compliance,soc-2
ISO 27001,,Compliance,iso-27001
GDPR,,Compliance,gdpr
PCI DSS,,Compliance,pci-dss
NIST,,Compliance,nist
Compliance Management,,Compliance,compliance-management
Audit Readiness,,Compliance,audit-readiness
Vendor Risk Assessment,,Compliance,vendor-risk-assessment
Information Security,,Security,information-security
Cybersecurity,,Security,cybersecurity
Zero Trust,,Security,zero-trust
Identity and Access Management,,Security,identity-and-access-management
SSO,,Security,sso
SAML,,Security,saml
OAuth,,Security,oauth
OIDC,,Security,oidc
Data Privacy,,Security,data-privacy
Network Security,,Security,network-security
Penetration Testing,,Security,penetration-testing
Incident Response Planning,,Security,incident-response-planning
Disaster Recovery,,Security,disaster-recovery
Business Continuity,,Security,business-continuity
Product Management,,Product,product-management
Technical Product Management,,Product,technical-product-management
Platform Product Management,,Product,platform-product-management
Hardware Product Management,,Product,hardware-product-management
Roadmap Development,,Product,roadmap-development
Product Strategy,,Product,product-strategy
Product Discovery,,Product,product-discovery
Product Vision,,Product,product-vision
User Research,,Product,user-research
Customer Interviews,,Product,customer-interviews
Jobs To Be Done,,Product,jobs-to-be-done
Product Analytics,,Product,product-analytics
A/B Testing,,Product,ab-testing
Feature Flagging,,Product,feature-flagging
LaunchDarkly,,Product,launchdarkly
GrowthBook,,Product,growthbook
PRD Authoring 2,,Product,prd-authoring-2
User Stories,,Product,user-stories
Acceptance Criteria,,Product,acceptance-criteria
Backlog Grooming,,Product,backlog-grooming
Sprint Planning,,Product,sprint-planning
Retrospectives,,Product,retrospectives
Velocity Tracking,,Product,velocity-tracking
Burn-Down Charts,,Product,burn-down-charts
Series A,,Funding,series-a
Series B,,Funding,series-b
Series C,,Funding,series-c
Series D,,Funding,series-d
Pre-Seed,,Funding,pre-seed
Seed,,Funding,seed
Bridge Round,,Funding,bridge-round
Convertible Note,,Funding,convertible-note
SAFE Note,,Funding,safe-note
Venture Capital,,Funding,venture-capital
Private Equity,,Funding,private-equity
Acquisition,,Funding,acquisition
M&A,,Funding,m-and-a
IPO Readiness,,Funding,ipo-readiness
Due Diligence,,Funding,due-diligence
Cap Table Management,,Funding,cap-table-management
P&L Ownership,,Finance,p-and-l-ownership
P&L Management,,Finance,p-and-l-management
Budget Management,,Finance,budget-management
Forecasting and Modeling,,Finance,forecasting-and-modeling
Financial Modeling,,Finance,financial-modeling
SaaS Financial Modeling,,Finance,saas-financial-modeling
Business Case Development,,Finance,business-case-development
ROI Analysis,,Finance,roi-analysis
TCO Analysis,,Finance,tco-analysis
Unit Economics,,Finance,unit-economics
Cohort Analysis,,Finance,cohort-analysis
Fractional COO,,Operator,fractional-coo
Fractional CRO,,Operator,fractional-cro
Operator,,Operator,operator
Founding Team,,Operator,founding-team
Early-Stage Startup,,Operator,early-stage-startup
Series A Operations,,Operator,series-a-operations
Series B Operations,,Operator,series-b-operations
Series C Operations,,Operator,series-c-operations
Scale-Up Leadership,,Operator,scale-up-leadership
Public Speaking,,Communication,public-speaking
Written Communication,,Communication,written-communication
Technical Writing,,Communication,technical-writing
Executive Communication,,Communication,executive-communication
Customer Communication,,Communication,customer-communication
Negotiation Communication,,Communication,negotiation-communication
Active Listening,,Communication,active-listening
Empathy,,Communication,empathy
Cross-Cultural Communication,,Communication,cross-cultural-communication
Global Team Communication,,Communication,global-team-communication
Multi-Time-Zone Coordination,,Communication,multi-time-zone-coordination
Async Communication,,Communication,async-communication
Time Management,,Productivity,time-management
Prioritization,,Productivity,prioritization
Calendar Management,,Productivity,calendar-management
Inbox Management,,Productivity,inbox-management
Documentation Discipline,,Productivity,documentation-discipline
Decision Documentation,,Productivity,decision-documentation
Knowledge Management,,Productivity,knowledge-management
Information Architecture,,Productivity,information-architecture
Process Documentation,,Productivity,process-documentation
SOP Authoring,,Productivity,sop-authoring
Standard Operating Procedures,,Productivity,standard-operating-procedures
Runbook Development,,Productivity,runbook-development
Playbook Authoring,,Productivity,playbook-authoring
Onboarding Programs,,Productivity,onboarding-programs
Training Program Development,,Productivity,training-program-development
First-Call Resolution,,Productivity,first-call-resolution
SLA Management,,Productivity,sla-management
KPI Reporting,,Productivity,kpi-reporting
OKR Planning,,Productivity,okr-planning
Quarterly Business Review,,Productivity,quarterly-business-review
QBR Facilitation,,Productivity,qbr-facilitation
Executive Briefing,,Productivity,executive-briefing
Status Update Reporting,,Productivity,status-update-reporting
Net Promoter Score,,CX,net-promoter-score
NPS,,CX,nps
Customer Satisfaction,,CX,customer-satisfaction
CSAT,,CX,csat
Customer Health Score,,CX,customer-health-score
Voice of Customer,,CX,voice-of-customer
VoC Programs,,CX,voc-programs
Customer Advisory Board,,CX,customer-advisory-board
User Acceptance Testing,,QA,user-acceptance-testing
UAT,,QA,uat
Quality Assurance,,QA,quality-assurance
Test Planning,,QA,test-planning
Test Case Design,,QA,test-case-design
Bug Triage,,QA,bug-triage
Defect Management,,QA,defect-management
Release Quality Gates,,QA,release-quality-gates
Beta Testing Programs,,QA,beta-testing-programs
Customer Pilots,,QA,customer-pilots
Early Access Programs,,QA,early-access-programs
VoIP,,Telecom,voip
SIP,,Telecom,sip
PBX,,Telecom,pbx
Hosted PBX,,Telecom,hosted-pbx
SIP Trunking,,Telecom,sip-trunking
Unified Communications,,Telecom,unified-communications
Contact Center,,Telecom,contact-center
CCaaS,,Telecom,ccaas
UCaaS,,Telecom,ucaas
QoS,,Telecom,qos
SD-WAN,,Telecom,sd-wan
MPLS,,Telecom,mpls
BGP,,Telecom,bgp
DNS,,Telecom,dns
Network Architecture,,Networking,network-architecture
LAN,,Networking,lan
WAN,,Networking,wan
WLAN,,Networking,wlan
VLAN,,Networking,vlan
TCP/IP,,Networking,tcp-ip
IPv6,,Networking,ipv6
Routing and Switching,,Networking,routing-and-switching
Cisco,,Networking,cisco
Juniper,,Networking,juniper
Fortinet,,Networking,fortinet
Palo Alto Networks,,Networking,palo-alto-networks
Cradlepoint,,Networking,cradlepoint
Ubiquiti,,Networking,ubiquiti
Cambium Networks,,Networking,cambium-networks
Mimosa,,Networking,mimosa
Ruckus,,Networking,ruckus
